Dataset,Accuracy,F1,Time
Coffee,1.0,1.0,0.03318953514099121
GunPoint,0.9933333333333333,0.993333629642799,0.03242135047912598
ItalyPowerDemand,0.9407191448007775,0.9407118658617585,0.027997732162475586
